23.04.2019/08:38 SW ver:OXY10v3_33
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1215648
PM number         : 00000000
Serial number     : S DLK 0001 000014   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 081
Ref LED amplitude : 97404
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.11 at 020.0°C amp 041900
100.00%a.s.phase 2: 28.64 at 020.0°C amp 020100
Date   (ddmmyy)   : 081216
Pressure (mBar)   : 1034

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1034
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/h;Oxy/% oxy sat.;Phase/°;Amp;Temp/°C
23.04.2019;08:38:09;0.00;7.278;40.760;12212.000;20.000
23.04.2019;08:43:09;0.08;7.209;40.870;12286.000;20.000
23.04.2019;08:48:10;0.17;7.393;40.590;12176.000;20.000
23.04.2019;08:53:10;0.25;7.324;40.690;12208.000;20.000
23.04.2019;08:58:09;0.33;7.270;40.780;12253.000;20.000
23.04.2019;09:03:10;0.42;7.305;40.720;12229.000;20.000
23.04.2019;09:08:10;0.50;7.345;40.660;12218.000;20.000
23.04.2019;09:13:10;0.58;7.356;40.640;12211.000;20.000
23.04.2019;09:18:09;0.67;7.379;40.610;12195.000;20.000
23.04.2019;09:23:09;0.75;7.395;40.580;12224.000;20.000
23.04.2019;09:28:10;0.83;7.255;40.800;12262.000;20.000
23.04.2019;09:33:09;0.92;7.228;40.840;12255.000;20.000
23.04.2019;09:38:09;1.00;7.356;40.640;12249.000;20.000
23.04.2019;09:43:10;1.08;7.272;40.770;12287.000;20.000
23.04.2019;09:48:09;1.17;7.276;40.760;12197.000;20.000
23.04.2019;09:53:09;1.25;7.351;40.650;12222.000;20.000
23.04.2019;09:58:10;1.33;7.188;40.900;12267.000;20.000
23.04.2019;10:03:10;1.42;7.387;40.590;12237.000;20.000
23.04.2019;10:08:10;1.50;7.286;40.750;12288.000;20.000
23.04.2019;10:13:09;1.58;7.314;40.710;12232.000;20.000
23.04.2019;10:18:10;1.67;7.180;40.910;12301.000;20.000
23.04.2019;10:23:10;1.75;7.314;40.710;12270.000;20.000
23.04.2019;10:28:09;1.83;7.182;40.910;12310.000;20.000
23.04.2019;10:33:09;1.92;7.366;40.630;12250.000;20.000
23.04.2019;10:38:09;2.00;7.194;40.890;12344.000;20.000
23.04.2019;10:43:10;2.08;7.249;40.810;12276.000;20.000
23.04.2019;10:48:09;2.17;7.138;40.980;12384.000;20.000
23.04.2019;10:53:10;2.25;7.293;40.740;12255.000;20.000
23.04.2019;10:58:09;2.33;7.119;41.010;12300.000;20.000
23.04.2019;11:03:09;2.42;7.255;40.800;12258.000;20.000
23.04.2019;11:08:10;2.50;7.127;41.000;12337.000;20.000
23.04.2019;11:13:10;2.58;7.328;40.690;12240.000;20.000
23.04.2019;11:18:09;2.67;7.175;40.920;12341.000;20.000
23.04.2019;11:23:09;2.75;7.284;40.750;12290.000;20.000
23.04.2019;11:28:10;2.83;7.048;41.120;12360.000;20.000
23.04.2019;11:33:09;2.92;7.291;40.740;12261.000;20.000
23.04.2019;11:38:09;3.00;7.008;41.180;12348.000;20.000
23.04.2019;11:43:09;3.08;7.242;40.820;12283.000;20.000
23.04.2019;11:48:09;3.17;7.045;41.120;12380.000;20.000
23.04.2019;11:53:09;3.25;7.247;40.810;12254.000;20.000
23.04.2019;11:58:09;3.33;7.025;41.160;12363.000;20.000
23.04.2019;12:03:10;3.42;7.125;41.000;12299.000;20.000
23.04.2019;12:08:09;3.50;7.245;40.810;12271.000;20.000
23.04.2019;12:13:09;3.58;7.115;41.020;12349.000;20.000
