Species,Hunted?,2006 IUCN threat (criterion A),Adult Body Mass (g),Age at First Birth (days),Age at Sexual Maturity (days),Gestation Length (days),Weaning Age (days),Inter-Birth interval (days),Group Size,Geographic Range Area (km2),HomeRange (km2),MaximumLongevity (months),Population Density (km2),Mean Human Population Density (km2),2003 GNI (US $ millions) ,Mating System,Diet,Habitat Breadth
Addax nasomaculatus,Non-Hunted,4,94700,1066.86,NA,262.74,NA,360,12.63,1168709,NA,308.04,0.06,1.5,9624.69,NA,Specialist,2
Aepyceros melampus,Hunted,2,52300,730,394.42,196.75,150,365,15.25,3926869,1.99,213,13,37.6,14962.72,Polygamous,Generalist,4
Alcelaphus buselaphus,Hunted,2,164000,927.71,696.84,242.67,188.73,345.5,20,5580395,2.75,240,3.39,29.89,11483.09,Polygamous,Specialist,4
Alces alces,Hunted,0,481000,1216.67,547.5,235,98.18,365,1,22315180,72,324,0.41,8.47,1521949.72,Polygamous,Specialist,2
Ammodorcas clarkei,Non-Hunted,NA,28000,NA,NA,200,NA,NA,NA,287057,NA,36,0.75,10.04,3089.53,NA,Specialist,3
Ammotragus lervia,Non-Hunted,2,93200,407.58,456.25,156.24,121.67,212.92,NA,1447451,7.07,252,NA,5.62,36006.72,Polygamous,NA,2
Antidorcas marsupialis,Hunted,2,33200,NA,279.01,169.49,55.71,365,NA,1066805,NA,240,10.4,2.06,5936.21,Polygamous,Generalist,2
Antilocapra americana,Non-Hunted,0,46900,365,457.81,247.99,87.55,365,12,2009746,8.16,144,0.84,6.77,9998676.89,Polygamous,NA,3
Antilope cervicapra,Non-Hunted,1,35900,669.17,986.11,166.6,59.5,212.56,30,1248647,0.63,243,4.31,284.26,597188.55,Polygamous,Specialist,4
Axis axis,Hunted,0,69500,NA,462.75,227.5,121.67,425.83,NA,2041090,0.69,249.6,6.7,361.47,569944.22,Polygamous,Generalist,4
Axis calamianensis,Non-Hunted,NA,39500,NA,NA,224,NA,NA,NA,1345,NA,NA,NA,36.99,86607.1,NA,NA,3
Axis kuhlii,Non-Hunted,NA,55000,NA,NA,227.5,NA,NA,NA,198,NA,NA,4.41,625,199369,NA,NA,4
Axis porcinus,Non-Hunted,NA,37100,NA,403.98,220.13,NA,NA,1.8,2017514,0.53,240,16.5,144.44,NA,Polygamous,Generalist,4
Babyrousa babyrussa,Hunted,2,91700,NA,345.2,156.5,212.92,NA,4.5,61504,NA,288,NA,35.4,199369,NA,Generalist,3
Bison bison,Non-Hunted,2,620000,1095,752,283.17,300.48,399,30,10388,47.7,396,0.29,0.7,11003700,Polygamous,Generalist,4
Bison bonasus,Non-Hunted,NA,673000,1068.39,730,266,285.46,638.75,35,NA,7.92,324,0.9,NA,NA,Polygamous,Specialist,NA
Blastocerus dichotomus,Hunted,NA,111000,NA,NA,272.37,NA,NA,3,2004539,NA,NA,0.13,11.65,277385.89,Polygamous,Generalist,5
Bos frontalis,Hunted,NA,800000,NA,534.77,273.75,189.18,403.02,40,2294332,NA,314.4,0.55,152.68,NA,NA,Specialist,3
Bos grunniens,Hunted,NA,500000,NA,657.99,273.75,243.33,NA,110,1523540,NA,267,NA,2.03,1574470,Polygamous,NA,2
Bos javanicus,Non-Hunted,NA,627000,912.5,693.99,296.78,286.8,NA,40,1687921,NA,318.96,0.76,139.21,NA,Polygamous,NA,4
Bos sauveli,Non-Hunted,NA,786000,NA,657.99,NA,NA,NA,20,115557,NA,NA,NA,36.95,15866.66,NA,NA,4
Bos taurus,Non-Hunted,NA,613000,NA,657.99,280.49,NA,NA,NA,NA,10.2,240,NA,NA,NA,Polygamous,Generalist,NA
Boselaphus tragocamelus,Non-Hunted,0,181000,912.5,NA,248.5,NA,400.5,NA,2192565,NA,260.4,2.42,313.3,589624.26,Polygamous,Specialist,4
Bubalus bubalis,Non-Hunted,NA,919000,NA,744.83,320,242.74,547.5,NA,978657,3.7,339,1.08,254.71,NA,Polygamous,NA,NA
Bubalus depressicornis,Hunted,NA,255000,NA,657.99,295.78,NA,NA,1,41027,NA,432.96,NA,40,199369,Polygamous,Generalist,2
Bubalus mephistopheles,Non-Hunted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bubalus mindorensis,Non-Hunted,NA,251000,NA,657.99,306.06,NA,1095,1,9913,NA,336,NA,161.33,86607.1,NA,NA,3
Bubalus quarlesi,Hunted,NA,180000,NA,657.99,295,NA,NA,1,56312,NA,270,NA,62.96,199369,NA,NA,NA
Budorcas taxicolor,Hunted,2,291000,NA,807.96,235.61,111.45,365,14,402044,NA,234.96,NA,58.63,1397475.94,Polygamous,Generalist,4
Camelus bactrianus,Non-Hunted,4,547000,1460,1219.47,398,373.06,730,6.2,188693,NA,480,0.06,1.83,1368972.03,NA,Generalist,3
Camelus dromedarius,Non-Hunted,NA,488000,1738.31,1670.1,386.52,389.38,614.42,10,NA,200,480,0.97,NA,NA,Polygamous,Generalist,NA
Capra caucasica,Non-Hunted,3,63300,NA,732.49,153.53,55.72,365,NA,32782,NA,228.96,NA,40.23,259038.94,NA,NA,4
Capra cylindricornis,Non-Hunted,NA,57500,NA,879.29,155,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,4
Capra falconeri,Non-Hunted,3,53600,730,879.29,167.99,167.29,NA,NA,155076,NA,168,NA,88.37,57021.4,NA,NA,4
Capra hircus,Non-Hunted,2,46900,669.17,419.67,156,158.05,365,NA,NA,99.5,249.6,7.69,NA,NA,Polygamous,Generalist,4
Capra ibex,Hunted,0,69300,912.5,758.53,167.5,111.76,547.5,NA,145098,NA,267.6,NA,135.27,1005835.43,Polygamous,Generalist,4
Capra nubiana,Hunted,NA,47600,NA,NA,150,NA,NA,NA,177987,NA,204,NA,13.76,102232.74,NA,NA,NA
Capra pyrenaica,Non-Hunted,1,60200,NA,NA,150,NA,NA,NA,110473,0.66,192,NA,72.32,829643,Polygamous,NA,5
Capra sibirica,Hunted,0,130000,NA,NA,175,NA,NA,NA,2802214,NA,267,NA,23.16,511911.07,NA,NA,NA
Capra walie,Non-Hunted,NA,99400,NA,NA,157.5,NA,NA,NA,4295,NA,NA,4.13,63.17,6597.13,NA,NA,1
Capreolus capreolus,Non-Hunted,0,22400,730,391.77,161.54,79.75,365,NA,6777178,0.53,204,7.72,101.79,517106.23,Polygamous,Generalist,4
Capreolus pygargus,Non-Hunted,0,41000,NA,769.85,290,135.22,NA,NA,9816966,1,NA,80,26.63,625592.67,NA,NA,4
Catagonus wagneri,Non-Hunted,NA,35200,730,773.66,152.08,59.67,NA,5.75,329881,7.11,108,9.24,1.68,60097.86,NA,NA,3
Cephalophus adersi,Hunted,4,9250,NA,NA,120,NA,NA,NA,3824,NA,48.96,3.66,187.18,12626.73,NA,Generalist,NA
Cephalophus callipygus,Hunted,1,18800,NA,NA,NA,NA,NA,NA,788398,0.33,NA,NA,12.47,5479.02,NA,Generalist,2
Cephalophus dorsalis,Hunted,1,20000,760.42,465.58,238,NA,NA,1,2874503,0.28,204.96,NA,34.09,6401.09,NA,Generalist,4
Cephalophus harveyi,Hunted,2,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generalist,NA
Cephalophus jentinki,Non-Hunted,NA,67500,NA,NA,NA,NA,NA,NA,130952,NA,210,0.1,55.45,7387.68,NA,Generalist,2
Cephalophus leucogaster,Hunted,1,13000,NA,NA,NA,NA,NA,NA,1396673,NA,63.96,NA,19.68,5338.08,NA,Generalist,3
Cephalophus maxwellii,Hunted,1,8440,1095,291.81,205,60.1,NA,1.95,1214156,NA,147,5.89,78.44,12232.38,Monogamous,Generalist,3
Cephalophus monticola,Hunted,0,4860,577.92,304.74,205,25.65,265,1.9,6552146,NA,144,35.7,33.48,10992.09,Monogamous,Generalist,4
Cephalophus natalensis,Hunted,2,12000,NA,NA,212.98,NA,235,2,1208751,0.07,180,6.87,37.4,16080.22,Monogamous,Generalist,NA
Cephalophus niger,Hunted,1,18900,NA,NA,126,88.91,NA,NA,726891,NA,122.04,1.12,100.88,12725.19,NA,Generalist,1
Cephalophus nigrifrons,Hunted,1,14200,NA,NA,NA,NA,NA,NA,2766201,NA,236.4,2,27.94,6030.49,NA,Generalist,NA
Cephalophus ogilbyi,Hunted,1,18200,NA,NA,121.67,NA,NA,NA,587613,0.08,NA,NA,88.05,12609.93,NA,Generalist,1
Cephalophus rubidus,Non-Hunted,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generalist,NA
Cephalophus rufilatus,Hunted,2,12000,794.64,NA,234,85.04,NA,1,3098970,NA,114,3.09,46.8,16863.65,NA,Generalist,NA
Cephalophus silvicultor,Hunted,1,61300,NA,NA,234.44,34.79,306,1,6018052,NA,207.96,0.49,36.83,8102.57,NA,Generalist,4
Cephalophus spadix,Non-Hunted,NA,56500,NA,NA,NA,NA,NA,NA,36583,NA,65.04,NA,49.39,10555.98,NA,Generalist,3
Cephalophus weynsi,Hunted,1,NA,NA,NA,NA,NA,NA,NA,1692834,NA,183,NA,42.21,5385.1,NA,Generalist,1
Cephalophus zebra,Non-Hunted,NA,15400,NA,NA,223.9,12.82,NA,NA,171547,NA,146.04,NA,37.94,5522.09,Monogamous,Generalist,2
Cervus albirostris,Hunted,NA,161000,NA,NA,263.42,NA,NA,NA,1061383,NA,216,NA,12.83,1574470,NA,NA,3
Cervus alfredi,Non-Hunted,NA,45800,NA,NA,243.33,NA,NA,NA,24505,NA,NA,NA,291.84,86607.1,NA,NA,2
Cervus duvaucelii,Non-Hunted,NA,169000,1095,732.49,245,NA,NA,64.25,255737,14.3,NA,11.4,428.69,583158.8,Polygamous,Specialist,4
Cervus elaphus,Hunted,0,240000,993.71,549.37,235.61,104.64,NA,17.5,14167732,58.4,321.6,2.9,60.8,1927498.8,Polygamous,Generalist,5
Cervus eldii,Non-Hunted,2,94700,958.13,449.86,240.2,223.21,382.7,NA,119941,NA,232.8,NA,64.12,213164.16,Polygamous,Specialist,4
Cervus mariannus,Hunted,NA,49100,NA,NA,NA,NA,NA,NA,220498,NA,NA,NA,222.55,86607.1,NA,NA,3
Cervus nippon,Non-Hunted,0,53000,1095,451.11,223.66,197.71,NA,7.5,2714653,1.45,305.04,0.75,331.56,1870074.25,Polygamous,Specialist,4
