Species,Hunted?,2006 IUCN threat,Adult Body,Age at First ,Age at Sexual ,Gestation ,Weaning ,Inter-Birth ,Group Size,Geographic Range ,Home,Maximum,Population ,Mean Human ,2003 GNI ,Mating ,Diet,Habitat 
,, (criterion A), Mass (g),Birth (days),Maturity (days),Length (days),Age (days),interval (days),,Area (km2),Range (km2),Longevity (months),Density (km2),Population Density (km2),(US $ millions) ,System,,Breadth
Addax nasomaculatus,Non-Hunted,4,94700,1066.86,,262.74,,360.00,12.63,1168709,,308.04,0.06,1.50,9624.69,,Specialist,2
Aepyceros melampus,Hunted,2,52300,730.00,394.42,196.75,150.00,365.00,15.25,3926869,1.99,213.00,13.00,37.60,14962.72,Polygamous,Generalist,4
Alcelaphus buselaphus,Hunted,2,164000,927.71,696.84,242.67,188.73,345.50,20.00,5580395,2.75,240.00,3.39,29.89,11483.09,Polygamous,Specialist,4
Alces alces,Hunted,0,481000,1216.67,547.50,235.00,98.18,365.00,1.00,22315180,72.00,324.00,0.41,8.47,1521949.72,Polygamous,Specialist,2
Ammodorcas clarkei,Non-Hunted,,28000,,,200.00,,,,287057,,36.00,0.75,10.04,3089.53,,Specialist,3
Ammotragus lervia,Non-Hunted,2,93200,407.58,456.25,156.24,121.67,212.92,,1447451,7.07,252.00,,5.62,36006.72,Polygamous,,2
Antidorcas marsupialis,Hunted,2,33200,,279.01,169.49,55.71,365.00,,1066805,,240.00,10.40,2.06,5936.21,Polygamous,Generalist,2
Antilocapra americana,Non-Hunted,0,46900,365.00,457.81,247.99,87.55,365.00,12.00,2009746,8.16,144.00,0.84,6.77,9998676.89,Polygamous,,3
Antilope cervicapra,Non-Hunted,1,35900,669.17,986.11,166.60,59.50,212.56,30.00,1248647,0.63,243.00,4.31,284.26,597188.55,Polygamous,Specialist,4
Axis axis,Hunted,0,69500,,462.75,227.50,121.67,425.83,,2041090,0.69,249.60,6.70,361.47,569944.22,Polygamous,Generalist,4
Axis calamianensis,Non-Hunted,,39500,,,224.00,,,,1345,,,,36.99,86607.10,,,3
Axis kuhlii,Non-Hunted,,55000,,,227.50,,,,198,,,4.41,625.00,199369.00,,,4
Axis porcinus,Non-Hunted,,37100,,403.98,220.13,,,1.80,2017514,0.53,240.00,16.50,144.44,,Polygamous,Generalist,4
Babyrousa babyrussa,Hunted,2,91700,,345.20,156.50,212.92,,4.50,61504,,288.00,,35.40,199369.00,,Generalist,3
Bison bison,Non-Hunted,2,620000,1095.00,752.00,283.17,300.48,399.00,30.00,10388,47.70,396.00,0.29,0.70,11003700.00,Polygamous,Generalist,4
Bison bonasus,Non-Hunted,,673000,1068.39,730.00,266.00,285.46,638.75,35.00,,7.92,324.00,0.90,,,Polygamous,Specialist,
Blastocerus dichotomus,Hunted,,111000,,,272.37,,,3.00,2004539,,,0.13,11.65,277385.89,Polygamous,Generalist,5
Bos frontalis,Hunted,,800000,,534.77,273.75,189.18,403.02,40.00,2294332,,314.40,0.55,152.68,,,Specialist,3
Bos grunniens,Hunted,,500000,,657.99,273.75,243.33,,110.00,1523540,,267.00,,2.03,1574470.00,Polygamous,,2
Bos javanicus,Non-Hunted,,627000,912.50,693.99,296.78,286.80,,40.00,1687921,,318.96,0.76,139.21,,Polygamous,,4
Bos sauveli,Non-Hunted,,786000,,657.99,,,,20.00,115557,,,,36.95,15866.66,,,4
Bos taurus,Non-Hunted,,613000,,657.99,280.49,,,,,10.20,240.00,,,,Polygamous,Generalist,
Boselaphus tragocamelus,Non-Hunted,0,181000,912.50,,248.50,,400.50,,2192565,,260.40,2.42,313.30,589624.26,Polygamous,Specialist,4
Bubalus bubalis,Non-Hunted,,919000,,744.83,320.00,242.74,547.50,,978657,3.70,339.00,1.08,254.71,,Polygamous,,
Bubalus depressicornis,Hunted,,255000,,657.99,295.78,,,1.00,41027,,432.96,,40.00,199369.00,Polygamous,Generalist,2
Bubalus mephistopheles,Non-Hunted,,,,,,,,,,,,,,,,,
Bubalus mindorensis,Non-Hunted,,251000,,657.99,306.06,,1095.00,1.00,9913,,336.00,,161.33,86607.10,,,3
